2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
-8.1157,-4.5112,-4.2957,-1.4062,-1.4988,2.4284,0.6734,0.4789,-2.4359,-15.1302,-19.5192,-16.4448,-6.277,4.3587,11.8435,13.7581,-3.1919,-3.9575,-5.5905,-13.5552,6.4027,5.8242,5.3507,10.073,-5.3397,-6.6858,-6.7671,-7.9762,4.3055,5.451
7.8287,-7.0873,-3.4526,-9.058,-53.0476,-19.183,-1.6198,4.9048,30.7924,13.4408,4.174,5.2451,18.9744,8.5744,0.3771,2.3551,0.9151,-1.46,3.2593,7.5946,29.8364,29.7884,14.4548,-2.3849,-36.8367,-31.5519,-20.0162,-8.6508,18.434,-9.7642
0.6025,1.3272,1.5235,-7.4186,-1.1419,-0.3121,-0.3634,40.6259,0.1256,4.4591,2.8097,-34.8996,-0.002,0.8631,0.4326,-2.7172,0.2275,-4.3554,-2.1612,6.2387,1.3158,11.2239,8.5729,3.5089,0.657,-9.6443,-6.8753,-8.7281,-9.1253,-2.3793
13.0448,12.7722,14.5502,10.9762,1.6315,-0.3549,-0.625,0.3287,-1.0107,-1.2238,-0.6534,-1.6474,0.7237,1.6407,1.145,0.904,-1.4744,-1.4323,-1.6022,-1.3506,-1.2034,-1.128,-1.0132,-1.2438,-1.1682,-1.0889,-0.8638,0.3552,0.6623,-3.0498
31.5466,26.1286,18.371,18.2184,0.8806,-0.9518,-1.8574,1.5077,-2.4771,-1.5178,0.7674,-2.404,0.9798,0.7537,2.8047,3.1438,4.7737,2.9257,-0.5941,1.0505,0.6942,-0.3644,-1.6958,-2.0925,-1.4266,0.3065,0.5953,0.0251,4.049,-5.3254
-0.8532,-0.1535,-0.0519,0.1099,0.8825,0.4615,0.0791,0.2468,-2.8439,-7.2558,-4.818,-3.9416,0.2841,4.7321,3.9036,4.1969,-0.3721,-0.3267,-0.3639,0.1241,-0.1027,-0.9279,-0.9619,-2.1073,1.1674,0.9776,2.9528,12.9299,7.6937,11.4374
-859.4424,-729.0124,-1314.2183,-1470.9995,295.8485,343.8506,1006.5952,439.8318,150.1072,503.2767,342.6263,1074.5228,-121.7764,-702.9706,23649.9885,10994.8282,61.5144,86.2849,-24066.6706,-11523.4833,351.6991,437.1627,379.0881,562.9139,20.9342,30.7358,17.783,21.4326,14.4865,-35.8281
143.7598,120.2318,99.3797,124.0917,-5.0446,-2.652,-4.4542,-0.4465,3.2509,2.3561,6.0959,-3.8336,0.6459,1.1199,-0.5544,0.2718,2.105,-0.8594,-2.2452,-0.6399,-5.1076,-2.4922,-1.2036,3.0133,0.0193,-1.7084,1.3099,6.5929,-2.5623,-12.1923
-9.7996,-11.9812,-10.9442,-5.4094,1.857,0.5129,2.0313,0.5173,-2.8558,-3.0188,-4.1901,-2.1865,-2.5727,-1.1454,0.5344,-0.4452,-3.0491,-2.7084,-1.8624,-2.9919,1.4657,5.8915,4.1219,4.5546,9.8796,5.4536,5.298,5.1773,-1.5116,-7.0782
6.974,4.3368,2.4257,2.9888,-3.6828,0.4404,1.5516,-4.0056,-0.5088,-5.8422,-5.5656,-2.9666,1.7591,-0.6192,-1.7295,-0.9083,-3.4249,-0.4255,1.4759,0.2472,0.1957,0.5299,-1.8768,-0.7018,-3.9824,-1.653,0.6248,0.7312,6.5226,-0.8297
-3.3242,26.8417,20.6787,7.8235,-3.3149,-24.2685,-14.5366,-5.8235,9.6151,-7.0893,-4.5479,-8.3182,-7.9938,-9.3063,-6.3698,3.713,-5.5959,1.7466,2.4202,-1.7393,-3.084,-1.0857,-3.6121,-5.6658,2.1381,-3.5276,10.0025,2.0684,1.3477,-5.6358
44.5802,30.7314,45.0823,30.3706,-17.2635,-13.6357,-35.7931,-32.3622,-10.7827,-2.5446,3.0821,10.8947,-0.7913,5.6592,0.295,1.4136,26.8803,6.3461,6.7321,-1.8912,-8.7574,8.8453,6.3337,0.7076,-12.6154,-22.0365,-17.5684,-10.4442,0.6562,-5.8267
0.5568,0.0974,0.1581,0.4753,-0.3848,-0.9928,-1.2123,-2.3472,0.0612,-1.3207,-4.5096,-5.6933,-0.0335,-0.0431,3.5449,4.9983,2.1843,2.2309,2.1134,1.4425,0.8086,0.8847,1.0505,0.3852,0.7534,0.5904,0.5553,-5.124,0.2628,-4.5822
-3.7586,-3.8886,-0.3346,0.2315,11.2022,6.6053,0.3275,0.5221,-10.0827,24.4653,22.8597,5.3822,-1.883,-27.414,-20.7065,-1.998,9.2095,1.3666,5.3424,0.7933,-0.2987,0.0744,-3.4253,-2.0405,-1.7203,0.2697,-1.3897,0.6524,-0.0703,-4.9383
-0.3996,-3.8439,-5.4727,-1.8317,-0.4198,-0.2963,-0.3247,-0.4029,-0.6761,-0.552,-0.2767,-0.5007,-0.5883,-0.9319,-1.5437,-1.0995,-3.2381,-1.0465,0.5745,0.9156,1.3404,0.4294,-0.4383,-0.2029,1.661,1.29,1.3885,0.5776,8.0385,-0.0531
250.9266,235.3504,214.3816,411.7448,-973.2111,-997.1205,-1035.5762,-900.5708,1458.0861,991.3221,921.8499,851.9121,-437.4618,61.9913,173.5893,-8.1709,-59.1371,-116.8682,-129.0227,-151.6844,-101.8663,-47.1884,44.6732,161.6059,85.9354,105.3466,48.6127,-1.8356,0.3988,62.8772
-11.3277,-15.6351,-8.4877,2.2055,-4.9035,-2.931,-3.5389,-0.2511,-2.1509,-2.3799,-1.0107,-0.7651,1.2988,1.752,2.0296,-0.602,1.6479,-2.611,-2.2396,0.5982,-0.4479,-0.3403,-0.1081,-1.9351,-1.6546,-0.8247,0.0719,4.3399,1.561,-14.9231
-0.3335,-0.428,-0.8783,1.2301,0.1827,-1.6224,-0.9328,-2.5233,-0.2561,0.5107,0.423,0.0305,5.2529,2.9485,1.448,0.7043,-5.1029,-2.3322,-0.6877,-0.3958,0.1549,0.04,-0.4884,0.9368,0.3549,0.0573,0.4673,0.3284,0.8545,-4.1604
1.9708,0.5425,0.4345,1.3596,0.3266,0.3046,0.3147,-0.2155,-0.2745,0.1822,0.1579,0.4083,-0.0827,-0.1442,-0.1354,1.2938,-0.4028,-0.4548,-0.3715,-2.0157,-0.1607,-0.2061,3.3755,3.8105,-0.1378,0.3544,-2.0903,-0.9972,1.4763,-1.9492
-13.3115,-13.0205,-11.0721,-16.7383,39.6534,26.3134,15.1588,18.0326,-38.286,-19.245,-8.2919,10.278,11.8749,14.9755,14.1293,-2.2865,52.0752,34.8886,27.5825,19.3337,-47.4401,-35.4107,75.2153,52.6063,5.4765,2.7227,-98.0986,-74.3645,-22.9496,-141.0433
