300052.SZ,open,high,low,close
2015-12-09,31.1500,31.9900,30.6700,31.76
2015-12-10,31.3500,32.9800,31.0100,31.79
2015-12-11,31.3800,32.8700,31.0300,32.15
2015-12-14,32.1000,34.8800,31.8000,33.63
2015-12-15,33.1000,34.1000,32.8600,33.6
2015-12-16,33.4000,33.5900,32.5500,32.58
2015-12-17,32.8300,33.7000,32.5700,33.67
2015-12-18,33.3900,33.5000,32.3000,32.3
2015-12-21,32.1900,32.4500,31.4000,32.44
2015-12-22,32.6000,32.6600,31.7000,32.31
2015-12-23,32.2900,33.2000,31.2900,31.34
2015-12-24,30.8000,31.2700,30.1400,30.93
2015-12-25,31.0000,31.6600,30.9500,31.36
2015-12-28,31.5500,32.2000,29.6600,29.66
2015-12-29,29.6600,29.8500,28.5100,29.28
2015-12-30,29.2500,29.8700,29.2000,29.8
2015-12-31,29.7900,30.2600,28.9100,28.99
2016-01-04,28.6300,29.2700,26.0900,26.09
2016-01-05,23.5600,25.6500,23.4800,23.98
2016-01-06,24.5000,24.9800,23.8100,24.86
2016-01-07,24.7000,24.7000,22.3700,22.37
2016-01-08,23.2700,23.6300,20.6800,22.92
2016-01-11,22.3300,22.6900,20.6300,20.63
2016-01-12,20.8200,21.9500,20.2500,21.52
2016-01-13,21.7500,21.8000,20.0000,20.05
2016-01-14,19.1700,21.8600,18.9600,21.83
2016-01-15,21.5000,22.5800,20.9000,21.39
2016-01-18,20.6400,22.6300,20.6000,22.36
2016-01-19,22.1400,22.9900,21.6100,22.94
2016-01-20,22.3500,22.8600,22.0000,22.15
2016-01-21,21.7400,22.9000,21.0000,21
2016-01-22,21.4000,21.9700,20.6600,21.7
2016-01-25,21.8500,22.2900,21.5400,21.96
2016-01-26,21.5400,21.8000,19.7600,19.76
2016-01-27,19.8000,20.1400,17.7800,19.27
2016-01-28,18.7300,18.9600,17.3400,17.34
2016-01-29,17.4000,18.4500,17.1500,18.08
2016-02-01,18.2000,18.2200,16.6800,17.3
2016-02-02,17.3300,19.0300,17.3300,19.03
2016-02-03,18.7500,19.3800,18.3800,19.19
2016-02-04,19.2300,19.8000,19.0000,19.4
2016-02-05,19.4500,19.5800,18.5000,18.62
2016-02-15,17.5000,19.1800,17.4500,18.79
2016-02-16,19.1600,20.2900,18.9000,19.82
2016-02-17,19.8000,20.8700,19.6300,20.6
