,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
600917.SH,-0.105390914,-0.119141732,-0.122645924,1.076288151,-0.110087501,-0.118764937,-0.121988831,1.39135226,-0.106935246,0.901730166,-0.084182089,1.222898166,-0.115518379,-0.226655548,-0.09615094,1.391855921,-0.063032383,0.93344986,1.243700135,1.499815135,0.321751703,0.727842305,0.959228302,1.315000015,0.310313482,0.695481103,0.940709394,1.210464186,0.240580225,0.633139448
600919.SH,-0.105390914,-0.68574045,-0.122645924,-0.110453362,-0.110087501,0.218925245,-0.121988831,2.795390331,-0.106935246,-0.317084587,-0.084182089,3.057402661,-0.115518379,-0.108849897,-0.098550675,2.447489063,-0.071437535,-0.088549155,-0.072648144,3.03176435,-0.123277203,1.215380532,-0.072105202,1.820893842,0.789983035,1.421534114,2.068723123,1.321573771,0.311579035,-0.381702466
600926.SH,-0.105390914,-0.033023072,-0.122645924,0.257680025,-0.110087501,-1.943777428,-0.121988831,2.079875122,-0.106935246,1.570994418,-0.084182089,4.135579183,-0.115518379,-0.108849897,-0.098550675,-0.005818484,-0.071437535,-0.088549155,-0.072648144,3.204812999,-0.123277203,2.564565984,2.352792315,2.418273336,-0.114057236,0.740663947,3.02292656,2.842328036,0.45231471,-0.322467494
600936.SH,-0.105390914,-0.119141732,-0.122645924,-0.136658674,-0.110087501,-0.118764937,-0.121988831,1.980641171,-0.106935246,-0.073580387,-0.084182089,3.947303806,-0.115518379,-0.108849897,-0.098550675,1.71523596,-0.071437535,-0.088549155,-0.072648144,1.842347867,-0.039013833,1.364046529,-0.091758664,1.95394357,-0.030981257,1.375923166,1.24296832,1.26099291,0.114796862,0.375389247
600939.SH,0.57170111,-0.299970159,-0.042026078,-0.071511569,-0.053978463,-0.135515773,-0.101105096,2.00599363,-0.121376724,-0.038517475,-0.054265057,1.789922936,-0.028027865,0.020310049,-0.087071383,1.240676577,-0.136813216,0.128363404,-0.128098365,0.096128335,-0.073715829,-0.148259952,2.287128914,2.420135506,-0.157267541,0.437235655,0.398443832,0.619460379,0.009621457,-0.084758477
600958.SH,-0.105390914,-0.130424615,-0.122645924,-0.315682731,-0.110087501,-0.136926814,-0.121988831,0.885641861,-0.106935246,-0.128602901,-0.084182089,0.438136724,-0.115518379,0.416398181,-0.098550675,0.737038442,-0.059709324,0.690514299,1.13556815,1.911012944,1.577107141,3.567825665,3.149877156,3.086061255,-0.113289099,-0.344087571,0.178601612,0.553529247,0.143663465,0.868251901
600959.SH,-0.105390914,-0.119141732,-0.122645924,-0.119456257,-0.110087501,-0.117212828,-0.119910325,0.786085573,-0.050377765,-0.023592062,0.018839121,0.849932072,-0.106524705,-0.076858505,-0.088175479,0.983057668,-0.071742478,0.576396553,-0.06948458,1.091743876,0.312325867,0.477586325,0.791341639,0.985663132,0.175678296,0.361319185,0.6522198,0.755075277,0.099866235,-0.060037931
600960.SH,0.546540158,0.991567206,1.580970203,2.225451228,0.460092189,0.915998744,1.147970098,1.456661976,0.16247642,0.390704465,0.518558936,0.478316029,0.130511268,0.343325305,0.360300123,0.683152689,0.203130663,0.745368958,0.654131663,0.679401541,0.091504866,0.083170724,0.07745209,0.0769947,0.050549884,0.132324459,0.163017959,0.509166859,0.141098566,-0.039974574
600961.SH,-0.069997681,-1.773380627,-1.079116925,0.065090595,-0.752120506,-0.416678903,-2.23065599,-4.684337672,0.017195679,-4.072699945,-5.466216761,-7.326652839,-1.060775905,-3.937144856,-1.387558667,0.700413761,0.187293403,0.199386856,-0.902556613,0.549031596,-1.908897889,-2.146505684,-12.47701417,-17.42863764,0.907733409,1.220883631,3.954845545,2.064421748,-0.221895415,0.536368032
600962.SH,-0.412989562,-0.763436271,-0.831871771,-1.104078231,0.176961423,0.766105002,0.982062313,0.655121237,0.095119016,0.500108715,0.316724976,0.262121285,0.037921938,-0.766540871,-0.998194429,-1.399979595,-0.315305703,-0.674782383,-0.964076208,-1.872890984,-0.121168616,-0.249607016,0.011535672,0.42888163,0.045867194,0.113365612,-0.054056526,-0.134367043,-0.073525951,-0.130945891
600963.SH,0.194731816,0.426117287,0.58489742,0.592746906,0.099363333,0.230917907,0.283008415,0.318796856,-0.136480945,-0.09817613,-0.072879682,-0.879247624,-0.361395735,-0.448572232,-0.42039811,-0.019671199,-0.095443986,-0.17142292,-0.440766454,-0.007446213,-0.456132297,-0.606808579,-0.882679687,-1.231883698,-0.087643784,-0.071717145,-0.021522913,0.022831281,-0.041440335,-0.049609257
600965.SH,-0.061119535,-0.160499572,-0.132898269,-1.024280125,-0.012889928,0.136871985,0.221396433,0.295692273,0.033740845,0.108539771,0.343366496,0.38323298,0.614116665,0.818155152,0.986114063,1.337504865,0.211077896,0.333368111,0.571130259,0.910139826,0.247922633,0.527635821,1.115442442,1.337571804,0.319843743,0.598125971,1.072233129,1.302927339,0.100126866,-0.069054242
600966.SH,0.202519199,0.373075394,0.546790858,0.600056999,0.26783092,0.592708851,0.806481838,0.474608622,0.005091126,0.032740384,-0.028106777,-0.15150516,-0.331644925,-0.486729953,-0.535221584,-1.025767672,0.129848207,0.189286352,0.280020167,0.188721262,-0.07524429,0.045843163,0.097141444,-0.023903736,-0.054317486,0.10553797,0.245797306,0.53654856,0.59688951,0.205649046
600967.SH,0.179107436,0.567568218,0.808606129,0.830344701,0.193222298,0.925983314,0.933142175,1.5360786,0.454759104,1.075077925,1.914837858,1.916097614,0.696988542,1.233287274,1.382894302,1.637842712,0.261561841,1.106430878,1.118252004,0.999844716,-0.239460296,-0.305574224,-0.595717771,-0.434997683,-0.344368454,-0.292830896,-0.243147572,1.127124173,0.088593218,0.013422741
